File: bench
Build ID: d3ecec9ef528dfce1500533d4f84e9c8379da77a
Type: cpu
Time: 2026-09-22 23:02:56 CST
Duration: 19.48s, Total samples = 19.78s (101.55%)
Showing nodes accounting for 18.97s, 95.90% of 19.78s total
Dropped 165 nodes (cum <= 0.10s)
Showing top 18 nodes out of 60
      flat  flat%   sum%        cum   cum%
    14.27s 72.14% 72.14%     14.27s 72.14%  runtime.memmove
     2.40s 12.13% 84.28%      2.40s 12.13%  internal/runtime/syscall/linux.Syscall6
     1.38s  6.98% 91.25%      1.38s  6.98%  runtime._ExternalCode
     0.23s  1.16% 92.42%      0.31s  1.57%  github.com/tetratelabs/wazero/internal/engine/wazevo.(*callEngine).callWithStack
     0.17s  0.86% 93.28%      0.17s  0.86%  runtime.memclrNoHeapPointers
     0.12s  0.61% 93.88%      0.55s  2.78%  github.com/tetratelabs/wazero/internal/engine/wazevo.(*moduleEngine).FunctionInstanceReference
     0.12s  0.61% 94.49%      0.15s  0.76%  github.com/tetratelabs/wazero/internal/leb128.decodeInt32
     0.08s   0.4% 94.89%     14.56s 73.61%  github.com/tetratelabs/wazero/internal/wasm.(*ModuleInstance).applyData
     0.06s   0.3% 95.20%      0.22s  1.11%  runtime.mallocgcSmallScanNoHeader
     0.03s  0.15% 95.35%      0.18s  0.91%  github.com/tetratelabs/wazero/internal/leb128.LoadInt32
     0.03s  0.15% 95.50%      0.46s  2.33%  runtime.mallocgc
     0.03s  0.15% 95.65%      0.28s  1.42%  runtime.newobject
     0.01s 0.051% 95.70%      0.56s  2.83%  github.com/tetratelabs/wazero/internal/wasm.(*ModuleInstance).applyElements
     0.01s 0.051% 95.75%      0.19s  0.96%  github.com/tetratelabs/wazero/internal/wasm.executeConstExpressionI32
     0.01s 0.051% 95.80%      1.40s  7.08%  os.(*File).read
     0.01s 0.051% 95.85%      0.15s  0.76%  runtime.findRunnable
     0.01s 0.051% 95.90%      0.17s  0.86%  runtime.schedule
         0     0% 95.90%     16.50s 83.42%  github.com/bkmashiro/agent-python-runtime.(*Runner).Run
