arm,metric,paired_blocks,median_delta,percent_blocks,median_percent_delta
fixed,cleanup_ns,5,1130900,5,3.82136179426199
fixed,end_to_end_ns,5,114127087,5,0.4290401015656719
fixed,run_ns,5,72604210,5,0.7859459900107872
fixed,sampled_wait_peak_cgroup_memory_bytes,5,-376832,5,-0.028283759895473062
fixed,sampled_wait_peak_cgroup_swap_bytes,5,228474880,0,
fixed,sampled_wait_peak_pss_bytes,5,51200,5,0.005351645952229068
fixed,sampled_wait_peak_rss_bytes,5,49152,5,0.005120764700861995
fixed,sampled_wait_peak_swap_pss_bytes,5,219369472,0,
fixed,setup_ns,5,12883762,5,0.07495396408898168
fixed,wait_mean_cgroup_memory_bytes,5,-453693.0168173313,5,-0.03405280912026158
fixed,wait_mean_cgroup_swap_bytes,5,183587635.43953264,0,
fixed,wait_mean_pss_bytes,5,-182147831.21492565,5,-19.032561297197013
fixed,wait_mean_rss_bytes,5,-180277777.79112756,5,-18.793127756657615
fixed,wait_mean_swap_pss_bytes,5,174547809.3608886,0,
fixed,wake_to_result_ns,5,50434838,5,50.6494701948979
pressure,cleanup_ns,5,3421918,5,10.722663751486191
pressure,end_to_end_ns,5,72836959,5,0.2728309877758641
pressure,run_ns,5,121740049,5,1.307877539668719
pressure,sampled_wait_peak_cgroup_memory_bytes,5,-557056,5,-0.04186444538844664
pressure,sampled_wait_peak_cgroup_swap_bytes,5,228487168,0,
pressure,sampled_wait_peak_pss_bytes,5,49152,5,0.005137580114139905
pressure,sampled_wait_peak_rss_bytes,5,-57344,5,-0.00597784780399491
pressure,sampled_wait_peak_swap_pss_bytes,5,219357184,0,
pressure,setup_ns,5,-17565552,5,-0.10238636529996725
pressure,wait_mean_cgroup_memory_bytes,5,-648602.9145987034,5,-0.048746500373128734
pressure,wait_mean_cgroup_swap_bytes,5,180743793.80940172,0,
pressure,wait_mean_pss_bytes,5,-179674771.71176136,5,-18.78070207315397
pressure,wait_mean_rss_bytes,5,-177662411.48082995,5,-18.53061558860276
pressure,wait_mean_swap_pss_bytes,5,172003853.8566443,0,
pressure,wake_to_result_ns,5,49498179,5,50.5143973369871
