arm,metric,scheduled,successful,available,median,minimum,maximum
natural,cleanup_ns,5,5,5,31912947,29562648,32960100
natural,end_to_end_ns,5,5,5,26600564046,26526893887,26696732506
natural,run_ns,5,5,5,9272277593,9198913411,9308214669
natural,sampled_wait_peak_cgroup_memory_bytes,5,5,5,1332326400,1330618368,1332961280
natural,sampled_wait_peak_cgroup_swap_bytes,5,5,5,0,0,0
natural,sampled_wait_peak_pss_bytes,5,5,5,956743680,956715008,957143040
natural,sampled_wait_peak_rss_bytes,5,5,5,959275008,958386176,959856640
natural,sampled_wait_peak_swap_pss_bytes,5,5,5,0,0,0
natural,setup_ns,5,5,5,17160743016,17155863915,17218575385
natural,wait_mean_cgroup_memory_bytes,5,5,5,1332069739.9619048,1330563034.5439987,1332703989.5214994
natural,wait_mean_cgroup_swap_bytes,5,5,5,0.0,0.0,0.0
natural,wait_mean_pss_bytes,5,5,5,956729238.8295994,956698908.3363236,957100305.3005141
natural,wait_mean_rss_bytes,5,5,5,959275008.0,958386176.0,959856640.0
natural,wait_mean_swap_pss_bytes,5,5,5,0.0,0.0,0.0
natural,wake_to_result_ns,5,5,5,99576240,97161253,105426055
fixed,cleanup_ns,5,5,5,30725062,30090078,34345941
fixed,end_to_end_ns,5,5,5,26721297684,26639381260,26876778068
fixed,run_ns,5,5,5,9363993342,9310415831,9399062706
fixed,sampled_wait_peak_cgroup_memory_bytes,5,5,5,1332080640,1329610752,1332416512
fixed,sampled_wait_peak_cgroup_swap_bytes,5,5,5,228474880,228229120,228528128
fixed,sampled_wait_peak_pss_bytes,5,5,5,956903424,956551168,957435904
fixed,sampled_wait_peak_rss_bytes,5,5,5,958779392,958210048,960020480
fixed,sampled_wait_peak_swap_pss_bytes,5,5,5,219369472,219119616,219414528
fixed,setup_ns,5,5,5,17201783851,17156364901,17328319806
fixed,wait_mean_cgroup_memory_bytes,5,5,5,1331886280.438624,1329483713.5654109,1332177925.197581
fixed,wait_mean_cgroup_swap_bytes,5,5,5,183587635.43953264,182605958.87400553,186165899.94777247
fixed,wait_mean_pss_bytes,5,5,5,774685476.8887824,771817670.5322199,775193823.7874347
fixed,wait_mean_rss_bytes,5,5,5,778997230.2088724,777008796.4894891,780150816.8027393
fixed,wait_mean_swap_pss_bytes,5,5,5,174547809.3608886,174087647.25615236,177235366.121256
fixed,wake_to_result_ns,5,5,5,150080323,148448140,156827155
pressure,cleanup_ns,5,5,5,33921080,30717906,35334865
pressure,end_to_end_ns,5,5,5,26769569465,26570289984,26872524447
pressure,run_ns,5,5,5,9381389848,9263117198,9429954718
pressure,sampled_wait_peak_cgroup_memory_bytes,5,5,5,1331564544,1330061312,1332568064
pressure,sampled_wait_peak_cgroup_swap_bytes,5,5,5,228487168,228167680,228524032
pressure,sampled_wait_peak_pss_bytes,5,5,5,956901376,956764160,957018112
pressure,sampled_wait_peak_rss_bytes,5,5,5,959217664,959127552,959533056
pressure,sampled_wait_peak_swap_pss_bytes,5,5,5,219357184,219058176,219414528
pressure,setup_ns,5,5,5,17171260202,17136556895,17284614997
pressure,wait_mean_cgroup_memory_bytes,5,5,5,1331389644.4429367,1329914431.6294,1332376411.2012036
pressure,wait_mean_cgroup_swap_bytes,5,5,5,180743793.80940172,178838967.0510926,182365714.95272407
pressure,wait_mean_pss_bytes,5,5,5,777024136.6245623,775975670.4875194,778945421.4345148
pressure,wait_mean_rss_bytes,5,5,5,781572568.6108375,781088314.4804871,783705223.6686441
pressure,wait_mean_swap_pss_bytes,5,5,5,172003853.8566443,170094944.19481584,173307383.53481346
pressure,wake_to_result_ns,5,5,5,148435511,147390463,154718571
