arm,metric,paired_blocks,median_delta,percent_blocks,median_percent_delta
fixed,cleanup_ns,5,1299689,5,5.7894462539555835
fixed,end_to_end_ns,5,41958067,5,0.16855112295855243
fixed,run_ns,5,29242871,5,0.37891607827429247
fixed,sampled_wait_peak_cgroup_memory_bytes,5,-24576,5,-0.0022401768246240236
fixed,sampled_wait_peak_cgroup_swap_bytes,5,228528128,0,
fixed,sampled_wait_peak_pss_bytes,5,40960,5,0.005672889826806674
fixed,sampled_wait_peak_rss_bytes,5,368640,5,0.050958876186917156
fixed,sampled_wait_peak_swap_pss_bytes,5,219418624,0,
fixed,setup_ns,5,12277528,5,0.07157732644261051
fixed,wait_mean_cgroup_memory_bytes,5,-186194.23182582855,5,-0.01698243988185355
fixed,wait_mean_cgroup_swap_bytes,5,185804309.31451195,0,
fixed,wait_mean_pss_bytes,5,-185602195.31532675,5,-25.714415386363516
fixed,wait_mean_rss_bytes,5,-183287416.6902926,5,-25.336699147516583
fixed,wait_mean_swap_pss_bytes,5,177660589.8408667,0,
fixed,wake_to_result_ns,5,31959090,5,55.92367775495387
pressure,cleanup_ns,5,129738,5,0.5998062411971159
pressure,end_to_end_ns,5,-29996212,5,-0.12056040912217993
pressure,run_ns,5,-12057697,5,-0.15646725200441283
pressure,sampled_wait_peak_cgroup_memory_bytes,5,327680,5,0.029868801290332217
pressure,sampled_wait_peak_cgroup_swap_bytes,5,0,0,
pressure,sampled_wait_peak_pss_bytes,5,176128,5,0.024393149495969456
pressure,sampled_wait_peak_rss_bytes,5,-479232,5,-0.06624653904299231
pressure,sampled_wait_peak_swap_pss_bytes,5,0,0,
pressure,setup_ns,5,-18165916,5,-0.10593450504631031
pressure,wait_mean_cgroup_memory_bytes,5,296781.04070329666,5,0.027053957375199413
pressure,wait_mean_cgroup_swap_bytes,5,0.0,0,
pressure,wait_mean_pss_bytes,5,173328.7162823677,5,0.024005511431500284
pressure,wait_mean_rss_bytes,5,-479232.0,5,-0.06624653904299231
pressure,wait_mean_swap_pss_bytes,5,0.0,0,
pressure,wake_to_result_ns,5,291991,5,0.5109410371617821
