arm,metric,scheduled,successful,available,median,minimum,maximum
natural,cleanup_ns,5,5,5,20948074,20596085,22449280
natural,end_to_end_ns,5,5,5,24896813285,24880648812,25065014373
natural,run_ns,5,5,5,7713422466,7706211265,7745927683
natural,sampled_wait_peak_cgroup_memory_bytes,5,5,5,1096941568,1096392704,1097064448
natural,sampled_wait_peak_cgroup_swap_bytes,5,5,5,0,0,0
natural,sampled_wait_peak_pss_bytes,5,5,5,722030592,721657856,722305024
natural,sampled_wait_peak_rss_bytes,5,5,5,723787776,723406848,724967424
natural,sampled_wait_peak_swap_pss_bytes,5,5,5,0,0,0
natural,setup_ns,5,5,5,17155130304,17148252113,17292392734
natural,wait_mean_cgroup_memory_bytes,5,5,5,1096900006.8570466,1096392704.0,1096996777.910792
natural,wait_mean_cgroup_swap_bytes,5,5,5,0.0,0.0,0.0
natural,wait_mean_pss_bytes,5,5,5,722026427.5696478,721653241.5460523,722303134.2782195
natural,wait_mean_rss_bytes,5,5,5,723787776.0,723406848.0,724967424.0
natural,wait_mean_swap_pss_bytes,5,5,5,0.0,0.0,0.0
natural,wake_to_result_ns,5,5,5,59003903,57147690,60102341
fixed,cleanup_ns,5,5,5,22089273,21178222,23748969
fixed,end_to_end_ns,5,5,5,24939678143,24905896148,25044284652
fixed,run_ns,5,5,5,7746748851,7736459963,7761069585
fixed,sampled_wait_peak_cgroup_memory_bytes,5,5,5,1096663040,1094930432,1097453568
fixed,sampled_wait_peak_cgroup_swap_bytes,5,5,5,228528128,228528128,228532224
fixed,sampled_wait_peak_pss_bytes,5,5,5,722071552,721649664,722165760
fixed,sampled_wait_peak_rss_bytes,5,5,5,723775488,722997248,724770816
fixed,sampled_wait_peak_swap_pss_bytes,5,5,5,219418624,219418624,219426816
fixed,setup_ns,5,5,5,17172916737,17139607070,17256857855
fixed,wait_mean_cgroup_memory_bytes,5,5,5,1096500174.3337216,1094892926.549823,1097322547.9697049
fixed,wait_mean_cgroup_swap_bytes,5,5,5,185804309.31451195,185483916.78314626,186237245.4895718
fixed,wait_mean_pss_bytes,5,5,5,536272769.72723776,536180479.99197406,536960545.4257411
fixed,wait_mean_rss_bytes,5,5,5,540119431.3097074,539251500.5097263,541069521.3476189
fixed,wait_mean_swap_pss_bytes,5,5,5,177660589.8408667,177343781.95282322,178077939.79010507
fixed,wake_to_result_ns,5,5,5,89469462,89106780,92943299
pressure,cleanup_ns,5,5,5,21759723,19937798,22402370
pressure,end_to_end_ns,5,5,5,24870227202,24837886701,24966493186
pressure,run_ns,5,5,5,7702210188,7687072785,7731797340
pressure,sampled_wait_peak_cgroup_memory_bytes,5,5,5,1097129984,1096253440,1097392128
pressure,sampled_wait_peak_cgroup_swap_bytes,5,5,5,0,0,0
pressure,sampled_wait_peak_pss_bytes,5,5,5,722198528,722034688,722214912
pressure,sampled_wait_peak_rss_bytes,5,5,5,723832832,722927616,724123648
pressure,sampled_wait_peak_swap_pss_bytes,5,5,5,0,0,0
pressure,setup_ns,5,5,5,17140997589,17123783739,17210332299
pressure,wait_mean_cgroup_memory_bytes,5,5,5,1097042470.4715114,1096065631.0511715,1097293558.9514954
pressure,wait_mean_cgroup_swap_bytes,5,5,5,0.0,0.0,0.0
pressure,wait_mean_pss_bytes,5,5,5,722189550.7033143,722017952.0918299,722210502.458492
pressure,wait_mean_rss_bytes,5,5,5,723832832.0,722927616.0,724123648.0
pressure,wait_mean_swap_pss_bytes,5,5,5,0.0,0.0,0.0
pressure,wake_to_result_ns,5,5,5,58842495,55781471,61152049
